date,product_id,product_name,category,list_price,discount_pct,selling_price,competitor_price,marketing_spend,units_sold,unit_cost,revenue,gross_profit
2025-01-01,P100,Everyday Sneakers,Footwear,68.37,0.1,61.54,71.42,1638.6,90,28.0,5538.21,3018.21
2025-01-02,P100,Everyday Sneakers,Footwear,66.47,0.05,63.15,70.43,1186.15,95,28.0,5998.96,3338.96
2025-01-03,P100,Everyday Sneakers,Footwear,67.08,0.05,63.73,71.59,1323.77,106,28.0,6755.41,3787.41
2025-01-04,P100,Everyday Sneakers,Footwear,68.76,0.0,68.76,68.87,1432.75,80,28.0,5501.2,3261.2
2025-01-05,P100,Everyday Sneakers,Footwear,69.33,0.0,69.33,70.08,1054.87,96,28.0,6655.87,3967.87
2025-01-06,P100,Everyday Sneakers,Footwear,68.13,0.1,61.32,69.72,1173.23,109,28.0,6683.7,3631.7
2025-01-07,P100,Everyday Sneakers,Footwear,68.83,0.05,65.39,71.24,2070.99,93,28.0,6081.27,3477.27
2025-01-08,P100,Everyday Sneakers,Footwear,67.82,0.0,67.82,69.18,1521.75,92,28.0,6239.5,3663.5
2025-01-09,P100,Everyday Sneakers,Footwear,68.37,0.1,61.53,69.22,1534.21,113,28.0,6953.34,3789.34
2025-01-10,P100,Everyday Sneakers,Footwear,69.24,0.05,65.78,69.54,1383.58,92,28.0,6051.41,3475.41
2025-01-11,P100,Everyday Sneakers,Footwear,68.9,0.0,68.9,71.11,1544.41,92,28.0,6339.09,3763.09
2025-01-12,P100,Everyday Sneakers,Footwear,69.05,0.1,62.15,71.85,775.42,109,28.0,6773.91,3721.91
2025-01-13,P100,Everyday Sneakers,Footwear,68.18,0.05,64.77,70.36,1838.18,90,28.0,5829.62,3309.62
2025-01-14,P100,Everyday Sneakers,Footwear,70.0,0.05,66.5,68.02,1179.44,89,28.0,5918.86,3426.86
2025-01-15,P100,Everyday Sneakers,Footwear,69.6,0.0,69.6,72.28,1174.46,78,28.0,5428.55,3244.55
2025-01-16,P100,Everyday Sneakers,Footwear,69.99,0.05,66.49,70.65,840.75,79,28.0,5252.66,3040.66
2025-01-17,P100,Everyday Sneakers,Footwear,67.87,0.15,57.69,71.27,1548.57,122,28.0,7038.33,3622.33
2025-01-18,P100,Everyday Sneakers,Footwear,69.25,0.0,69.25,72.13,1188.64,95,28.0,6578.7,3918.7
2025-01-19,P100,Everyday Sneakers,Footwear,68.3,0.0,68.3,70.46,869.5,94,28.0,6420.44,3788.44
2025-01-20,P100,Everyday Sneakers,Footwear,68.59,0.0,68.59,71.18,1473.07,88,28.0,6036.33,3572.33
2025-01-21,P100,Everyday Sneakers,Footwear,70.04,0.0,70.04,70.48,1271.3,69,28.0,4832.7,2900.7
2025-01-22,P100,Everyday Sneakers,Footwear,67.51,0.0,67.51,68.99,940.99,86,28.0,5805.7,3397.7
2025-01-23,P100,Everyday Sneakers,Footwear,68.22,0.05,64.81,73.48,1171.74,105,28.0,6805.43,3865.43
2025-01-24,P100,Everyday Sneakers,Footwear,68.24,0.0,68.24,70.96,957.99,81,28.0,5527.7,3259.7
2025-01-25,P100,Everyday Sneakers,Footwear,70.47,0.1,63.42,72.09,1385.58,110,28.0,6976.17,3896.17
2025-01-26,P100,Everyday Sneakers,Footwear,67.72,0.0,67.72,71.5,1109.38,97,28.0,6568.7,3852.7
2025-01-27,P100,Everyday Sneakers,Footwear,69.56,0.0,69.56,71.01,931.54,82,28.0,5704.32,3408.32
2025-01-28,P100,Everyday Sneakers,Footwear,69.86,0.1,62.87,73.76,1600.64,115,28.0,7230.09,4010.09
2025-01-29,P100,Everyday Sneakers,Footwear,71.43,0.0,71.43,70.39,966.43,75,28.0,5356.88,3256.88
2025-01-30,P100,Everyday Sneakers,Footwear,68.0,0.1,61.2,72.58,1220.0,99,28.0,6058.37,3286.37
2025-01-31,P100,Everyday Sneakers,Footwear,68.48,0.05,65.06,72.95,2018.82,135,28.0,8782.82,5002.82
2025-02-01,P100,Everyday Sneakers,Footwear,70.28,0.15,59.73,69.87,532.46,128,28.0,7646.03,4062.03
2025-02-02,P100,Everyday Sneakers,Footwear,68.82,0.05,65.38,70.54,1249.32,116,28.0,7583.54,4335.54
2025-02-03,P100,Everyday Sneakers,Footwear,70.04,0.05,66.54,71.33,927.16,79,28.0,5256.84,3044.84
2025-02-04,P100,Everyday Sneakers,Footwear,69.3,0.0,69.3,72.1,1936.45,90,28.0,6236.71,3716.71
